width,height,price
500,500,91.28
500,600,96.82
500,700,102.4
500,800,108.17
500,900,113.71
500,1000,119.43
500,1100,124.97
500,1200,130.55
500,1300,136.1
500,1400,141.91
500,1500,147.49
500,1600,153.04
500,1700,158.76
500,1800,164.3
600,500,96.12
600,600,101.9
600,700,107.95
600,800,113.74
600,900,119.52
600,1000,125.48
600,1100,131.26
600,1200,137.09
600,1300,142.87
600,1400,148.92
600,1500,154.75
600,1600,160.53
600,1700,166.5
600,1800,172.28
700,500,100.97
700,600,107.21
700,700,113.28
700,800,119.3
700,900,125.32
700,1000,131.53
700,1100,137.55
700,1200,143.61
700,1300,149.63
700,1400,155.93
700,1500,161.99
700,1600,168.01
700,1700,174.22
700,1800,180.24
800,500,105.99
800,600,112.26
800,700,118.56
800,800,124.82
800,900,131.08
800,1000,137.53
800,1100,143.79
800,1200,150.09
800,1300,156.36
800,1400,162.89
800,1500,169.2
800,1600,175.46
800,1700,181.91
800,1800,188.17
900,500,110.79
900,600,117.3
900,700,123.84
900,800,130.34
900,900,136.84
900,1000,143.53
900,1100,150.03
900,1200,156.58
900,1300,163.08
900,1400,169.86
900,1500,176.4
900,1600,182.91
900,1700,189.59
900,1800,196.1
1000,500,115.64
1000,600,122.38
1000,700,129.16
1000,800,135.91
1000,900,142.65
1000,1000,149.58
1000,1100,156.32
1000,1200,163.1
1000,1300,169.85
1000,1400,176.87
1000,1500,183.65
1000,1600,190.39
1000,1700,197.32
1000,1800,204.07
1100,500,120.44
1100,600,127.42
1100,700,134.44
1100,800,141.43
1100,900,148.41
1100,1000,155.58
1100,1100,162.56
1100,1200,169.59
1100,1300,176.57
1100,1400,183.83
1100,1500,190.86
1100,1600,197.84
1100,1700,205.01
1100,1800,211.99
1200,500,125.28
1200,600,132.5
1200,700,139.77
1200,800,146.99
1200,900,154.21
1200,1000,161.62
1200,1100,168.85
1200,1200,176.11
1200,1300,183.34
1200,1400,190.84
1200,1500,198.1
1200,1600,205.33
1200,1700,212.74
1200,1800,219.96
1300,500,130.08
1300,600,137.54
1300,700,145.05
1300,800,152.51
1300,900,159.98
1300,1000,167.63
1300,1100,175.09
1300,1200,182.6
1300,1300,190.06
1300,1400,197.8
1300,1500,205.31
1300,1600,212.77
1300,1700,220.42
1300,1800,227.89
1400,500,134.88
1400,600,142.58
1400,700,150.33
1400,800,158.03
1400,900,165.74
1400,1000,173.63
1400,1100,181.33
1400,1200,189.08
1400,1300,196.79
1400,1400,204.77
1400,1500,212.51
1400,1600,220.22
1400,1700,228.11
1400,1800,235.81
1500,500,139.77
1500,600,147.71
1500,700,155.7
1500,800,163.65
1500,900,171.59
1500,1000,179.72
1500,1100,187.67
1500,1200,195.65
1500,1300,203.6
1500,1400,211.82
1500,1500,219.81
1500,1600,227.75
1500,1700,235.89
1500,1800,243.83
1600,500,144.57
1600,600,152.76
1600,700,160.98
1600,800,169.17
1600,900,177.35
1600,1000,185.73
1600,1100,193.91
1600,1200,202.14
1600,1300,210.32
1600,1400,218.79
1600,1500,227.01
1600,1600,235.2
1600,1700,243.57
1600,1800,251.76
1700,500,149.41
1700,600,157.84
1700,700,166.31
1700,800,174.73
1700,900,183.16
1700,1000,191.77
1700,1100,200.2
1700,1200,208.66
1700,1300,217.09
1700,1400,225.79
1700,1500,234.26
1700,1600,242.69
1700,1700,251.3
1700,1800,259.73
1800,500,154.21
1800,600,162.88
1800,700,171.59
1800,800,180.25
1800,900,188.92
1800,1000,197.77
1800,1100,206.44
1800,1200,215.15
1800,1300,223.81
1800,1400,232.76
1800,1500,241.47
1800,1600,250.13
1800,1700,258.99
1800,1800,267.65
1900,500,159.01
1900,600,167.92
1900,700,176.87
1900,800,185.78
1900,900,194.68
1900,1000,203.78
1900,1100,212.68
1900,1200,221.63
1900,1300,230.54
1900,1400,239.72
1900,1500,248.67
1900,1600,257.58
1900,1700,266.67
1900,1800,275.58
2000,500,163.86
2000,600,173.0
2000,700,182.19
2000,800,191.34
2000,900,200.49
2000,1000,209.82
2000,1100,218.97
2000,1200,228.16
2000,1300,237.31
2000,1400,246.73
2000,1500,255.92
2000,1600,265.07
2000,1700,274.4
2000,1800,283.55
